label,total_return,xirr,sharpe,sortino,max_drawdown,calmar,final_value,months,deadband,rotations,total_costs,total_taxes,excess_xirr
db=0.000,497.4086968479014,0.15676414132279376,1.4558866544962614,3.1444934093860857,-0.22887395049602724,0.6849365818305079,515816.63584382983,157,0.0,30,11598.692786694155,0.0,0.03402472551612337
db=0.002,497.4086968479014,0.15676414132279376,1.4558866544962614,3.1444934093860857,-0.22887395049602724,0.6849365818305079,515816.63584382983,157,0.002,30,11598.692786694155,0.0,0.03402472551612337
db=0.004,524.6110638271792,0.16431787471950723,1.4709529789862854,3.3667869739133596,-0.18856845280539242,0.8713964201057935,543969.1009010804,157,0.004,26,10672.517789486858,0.0,0.041578458912836846
db=0.006,524.6110638271792,0.16431787471950723,1.4709529789862854,3.3667869739133596,-0.18856845280539242,0.8713964201057935,543969.1009010804,157,0.006,26,10672.517789486858,0.0,0.041578458912836846
db=0.008,524.6110638271792,0.16431787471950723,1.4709529789862854,3.3667869739133596,-0.18856845280539242,0.8713964201057935,543969.1009010804,157,0.008,26,10672.517789486858,0.0,0.041578458912836846
db=0.010,524.6110638271792,0.16431787471950723,1.4709529789862854,3.3667869739133596,-0.18856845280539242,0.8713964201057935,543969.1009010804,157,0.01,26,10672.517789486858,0.0,0.041578458912836846
db=0.012,516.8734881984667,0.16221292596561093,1.4673585778924776,3.3596781622469924,-0.18856845280539242,0.8602336369223909,535961.2746820935,157,0.012,24,8958.999419240285,0.0,0.039473510158940545
db=0.014,507.65981450129016,0.15966178840874945,1.4632012626728423,3.4136977440948337,-0.18832166220358976,0.8478142479230198,526425.7946627898,157,0.014,22,8403.576308966409,0.0,0.03692237260207906
db=0.016,507.65981450129016,0.15966178840874945,1.4632012626728423,3.4136977440948337,-0.18832166220358976,0.8478142479230198,526425.7946627898,157,0.016,22,8403.576308966409,0.0,0.03692237260207906
db=0.018,495.46727465639185,0.1562081177678849,1.4545176695551152,3.2130677217575503,-0.21179068776594734,0.737558952263815,513807.4055276048,157,0.018000000000000002,20,7351.60968548432,0.0,0.033468701961214514
db=0.020,495.46727465639185,0.1562081177678849,1.4545176695551152,3.2130677217575503,-0.21179068776594734,0.737558952263815,513807.4055276048,157,0.02,20,7351.60968548432,0.0,0.033468701961214514
db=0.022,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,0.022,17,5140.771638148217,0.0,0.039441311666656126
db=0.024,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,0.024,17,5140.771638148217,0.0,0.039441311666656126
db=0.026,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,0.026000000000000002,17,5140.771638148217,0.0,0.039441311666656126
db=0.028,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,0.028,17,5140.771638148217,0.0,0.039441311666656126
db=0.030,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,0.03,17,5140.771638148217,0.0,0.039441311666656126
db=0.032,516.7560861205255,0.1621807274733265,1.462515176049179,3.2424664984996237,-0.211112153118455,0.7682207067554606,535839.7720974323,157,0.032,17,5140.771638148217,0.0,0.039441311666656126
db=0.034,516.6851923912179,0.16216128047340822,1.4625588541632013,3.241150211646632,-0.21115982997901275,0.7679551574251858,535766.402260218,157,0.034,17,5141.711602849613,0.0,0.03942186466673783
db=0.036,516.6851923912179,0.16216128047340822,1.4625588541632013,3.241150211646632,-0.21115982997901275,0.7679551574251858,535766.402260218,157,0.036000000000000004,17,5141.711602849613,0.0,0.03942186466673783
db=0.038,516.6851923912179,0.16216128047340822,1.4625588541632013,3.241150211646632,-0.21115982997901275,0.7679551574251858,535766.402260218,157,0.038,17,5141.711602849613,0.0,0.03942186466673783
db=0.040,516.6851923912179,0.16216128047340822,1.4625588541632013,3.241150211646632,-0.21115982997901275,0.7679551574251858,535766.402260218,157,0.04,17,5141.711602849613,0.0,0.03942186466673783
db=0.042,516.6851923912179,0.16216128047340822,1.4625588541632013,3.241150211646632,-0.21115982997901275,0.7679551574251858,535766.402260218,157,0.042,17,5141.711602849613,0.0,0.03942186466673783
db=0.044,516.6851923912179,0.16216128047340822,1.4625588541632013,3.241150211646632,-0.21115982997901275,0.7679551574251858,535766.402260218,157,0.044,17,5141.711602849613,0.0,0.03942186466673783
db=0.046,514.7699706906071,0.16163482425841452,1.4616844880981819,3.2406483349101878,-0.21135487061809274,0.7647556159255977,533784.2875404068,157,0.046,17,5119.86664401102,0.0,0.038895408451744135
db=0.048,514.7699706906071,0.16163482425841452,1.4616844880981819,3.2406483349101878,-0.21135487061809274,0.7647556159255977,533784.2875404068,157,0.048,17,5119.86664401102,0.0,0.038895408451744135
db=0.050,516.1140128966134,0.16200449427355293,1.4625594138973015,3.2435741553337256,-0.21089599303057321,0.7681724623856055,535175.2731582719,157,0.05,15,4849.384816047623,0.0,0.03926507846688254
db=0.052,572.7089945794622,0.17669947857470245,1.4884602431833738,3.195713088749116,-0.21397085089502751,0.8258109823631532,593746.9498603719,157,0.052000000000000005,13,4933.318620005329,0.0,0.05396006276803206
db=0.054,572.7089945794622,0.17669947857470245,1.4884602431833738,3.195713088749116,-0.21397085089502751,0.8258109823631532,593746.9498603719,157,0.054,13,4933.318620005329,0.0,0.05396006276803206
db=0.056,572.7089945794622,0.17669947857470245,1.4884602431833738,3.195713088749116,-0.21397085089502751,0.8258109823631532,593746.9498603719,157,0.056,13,4933.318620005329,0.0,0.05396006276803206
db=0.058,572.7089945794622,0.17669947857470245,1.4884602431833738,3.195713088749116,-0.21397085089502751,0.8258109823631532,593746.9498603719,157,0.058,13,4933.318620005329,0.0,0.05396006276803206
db=0.060,572.7089945794622,0.17669947857470245,1.4884602431833738,3.195713088749116,-0.21397085089502751,0.8258109823631532,593746.9498603719,157,0.06,13,4933.318620005329,0.0,0.05396006276803206
db=0.062,532.3439228193988,0.16638851103276237,1.4724947779911521,3.1615253539070856,-0.21397085089502751,0.7776223272318121,551972.045745437,157,0.062,13,4940.095171463637,0.0,0.04364909522609198
db=0.064,532.3439228193988,0.16638851103276237,1.4724947779911521,3.1615253539070856,-0.21397085089502751,0.7776223272318121,551972.045745437,157,0.064,13,4940.095171463637,0.0,0.04364909522609198
db=0.066,532.3439228193988,0.16638851103276237,1.4724947779911521,3.1615253539070856,-0.21397085089502751,0.7776223272318121,551972.045745437,157,0.066,13,4940.095171463637,0.0,0.04364909522609198
db=0.068,585.6710677248345,0.1798468834359735,1.496588430630609,3.2255056506964674,-0.21023058755444174,0.8554743889939421,607161.7498140893,157,0.068,11,4083.904057523301,0.0,0.057107467629303105
db=0.070,585.6710677248345,0.1798468834359735,1.496588430630609,3.2255056506964674,-0.21023058755444174,0.8554743889939421,607161.7498140893,157,0.07,11,4083.904057523301,0.0,0.057107467629303105
db=0.072,585.6710677248345,0.1798468834359735,1.496588430630609,3.2255056506964674,-0.21023058755444174,0.8554743889939421,607161.7498140893,157,0.07200000000000001,11,4083.904057523301,0.0,0.057107467629303105
db=0.074,585.6710677248345,0.1798468834359735,1.496588430630609,3.2255056506964674,-0.21023058755444174,0.8554743889939421,607161.7498140893,157,0.074,11,4083.904057523301,0.0,0.057107467629303105
db=0.076,585.6710677248345,0.1798468834359735,1.496588430630609,3.2255056506964674,-0.21023058755444174,0.8554743889939421,607161.7498140893,157,0.076,11,4083.904057523301,0.0,0.057107467629303105
db=0.078,585.6710677248345,0.1798468834359735,1.496588430630609,3.2255056506964674,-0.21023058755444174,0.8554743889939421,607161.7498140893,157,0.078,11,4083.904057523301,0.0,0.057107467629303105
db=0.080,585.6710677248345,0.1798468834359735,1.496588430630609,3.2255056506964674,-0.21023058755444174,0.8554743889939421,607161.7498140893,157,0.08,11,4083.904057523301,0.0,0.057107467629303105
